,diferencia_cambio_activos_pasivos,inversiones_asociadas_negocios,prueba_acida,margen_utilidad_neta,activos_por_derechos,rotacion_ctas_x_cobrar,rotacion_proveedores,patrimonio_atributable_controladoras,gastos_produccion,ingresos_financieros,razon_corriente,margen_utilidad_operacional,tasa_desempleo,costo_deuda_financiera,dividendos,gastos_venta,pasivo_por_impuesto_diferido,provisiones_no_corriente,propiedades_inversion,utilidad_periodo,impuestos_por_pagar_corriente,tasa_interes,pasivo_beneficios_empleados_corriente,roi,cobertura_deuda,pasivos_por_derecho_corriente,ciclo_caja,pasivo_beneficios_empleados_no_corriente,kwn,nivel_endeudamiento_corto_plazo,proveedores_cuentas_pagar_corriente,margen_utilidad_antes_impuestos,inflacion,participaciones_no_controladoras,ciclo_operacion,cobertura_intereses,participacion_asociadas_negocios,gastos_financieros,activo_por_impuesto_diferido,otros_activos_intangibles,otros_activos_corrientes,utilidad_antes_impuestos,proveedores_cuentas_pagar_no_corriente,utilidad_periodo_operaciones_continuadas,gastos_administracion,plusvalia,rentabilidad_operativa,utilidad_operativa,provisiones_corriente,costo_pasivo_total,impuesto_renta_diferido,rotacion_activos,deudores_comerciales,nivel_apalancamiento,operaciones_discontinuadas,propiedades_planta_equipo,nivel_endeudamiento_largo_plazo,pib,obligaciones_financieras_no_corriente,pasivos_por_derecho_no_corriente,rentabilidad_patrimonio,reservas_utilidades_acumuladas,margen_utilidad_bruta,otros_ingresos_netos,rotacion_inventarios,otro_resultado_integral,costos_venta,nivel_endeudamiento,impuesto_renta_corriente,deudores_comerciales_no_corriente,inventarios,obligaciones_financieras_corrientes,efectivo_equivalentes,costo_patrimonio,diferencia_cambio_activos_pasivos_no_operativos,utilidad_bruta,utilidad_neta_periodo,otros_activos_no_corrientes,activos_no_corrientes_venta
12,-75687.7025624261,-826714.5261011273,0.0,-0.18421041751026945,-7543.58072388079,-215.63905036380535,2195.5677537140596,0.0,2.546596581025479e-09,3092.576268408683,0.0,0.0,-0.6999999999999993,3.1272052741802274,-4707.070386696391,-2.2738451388952583e-09,0.0,100.72007570951689,189.37288135593218,-694632.9164075525,-6.792501077842383e-14,0.0,0.0,0.0,-1.6667388250568086e-14,0.0,0.0,0.0,6.015983052908968e-10,2.473440205472438e-11,0.0,0.0,0.26074659047597143,0.0,0.0,-3.3650140735455086e-09,-9.032056617347572e-13,980492.0,0.0,0.0,5.837280992667727e-13,0.0,0.0,-2.6602191060367914e-11,-2.2738451388952583e-09,0.0,0.0,-1.2638415142084298e-09,0.0,3.1272052741802274,0.0,-6.928291137029624e-14,-4.833619284675573e-13,-0.003473367597005263,-775092.0,419.31336145009755,27931.595149121684,0.0,27931.582162206993,-8.201280895161556e-14,-0.7889949901293337,7.572576673939622e-13,0.0,0.0,28.545767123896074,-84971.33939567953,-1.1691393184591605e-08,0.0,0.0,0.0,-0.021802466465604374,5.914507291280007e-11,-0.04692929028777836,-4707.894715656928,-75687.7025624261,-2.276341582403343e-07,-707193.1639301988,-6116.271302516681,-180653.98841478376
13,-68942.21737424129,-51997.66648201458,0.0,-0.12570919341589776,-11728.508693385345,5.684341886080802e-14,-945.4055222439595,0.0,-5.364876902032892e-25,3092.5762684085644,0.0,0.0,0.3999999999999986,-0.774999297281069,-4707.070386696391,-5.564700693169259e-25,0.0,100.72007570951689,189.37288135593218,32906.64936270955,7.05697369106375e-14,-0.25,0.0,0.0,4.6594399518314504e-14,0.0,0.0,0.0,4.3211696876267237e-41,3.8299506802502093e-41,0.0,0.0,-0.0498492444454671,0.0,0.0,1.824120973285272e-24,-1.873677938418469e-28,0.0,0.0,0.0,3.285321980501573e-14,0.0,0.0,-1.1913301406714607e-26,-5.564700693169259e-25,0.0,0.0,5.064744445883543e-25,0.0,-0.774999297281069,0.0,2.1652904997208762e-13,5.378826311224619e-13,-0.0026029658404839633,-1.1641532182693481e-10,419.31336145009755,-30798.39387275024,0.0,-30798.39464486028,-2.832217895037802e-14,-3.943168696724307e-06,-3.4681090335804227e-46,0.0,0.0,0.41382978723405284,-77092.77462520007,6.288475715700751e-24,0.0,0.0,0.0,2.9020647086387172e-08,0.0,-2.549523762870869e-26,-4707.894715656928,-68942.21737424129,6.780796040069922e-07,2227.7139892597334,6.948483198162364,97457.05695737648
14,-329381.05860288296,-378961.99226148985,-830241.6699999999,-0.1258151207506722,-11728.508693385345,0.0,-1392.6029863948443,-153798.0,710487.0843011732,-40446.30408616722,-841.0,0.0,7.300000000000001,-0.8069968626846867,1101980.1774412245,95616.47333575724,-5.0,2239.395779190772,-450.2971186440661,-57049.90162775833,-3169.7440940403576,-0.21781680560515387,133.33999999999992,0.1,-0.4942684188066707,-16417.67,0.0,0.0,-254287.61883012377,115153.7667770449,558446.33,0.0,-0.4350753777772664,17221.0,0.0,-295357.1342699162,-2607.4566665984376,0.0,8222.330000000002,-401.3300000000015,-2834.1559244816017,41208.0,33562.33,-42454.01889555364,95616.47333575724,0.0,0.0,-264839.0583019828,-3964.0,-0.8069968626846867,-33290.0,4.943585960043375,16117.89839231685,89.5467200994809,0.0,626205.591961238,-30798.39387275024,-4.9,-30798.39464486028,301987.0116873401,-37615.919835645655,-56791.79467495957,0.0,12209.0,0.4138297872413581,-286241.42479511315,5793984.464115189,0.17000000000000004,5557.769999999997,-4623.0,7917.053484705469,115153.77289052257,-279470.2291040106,1102037.8760142338,-329381.05860288296,-1104365.1580377913,-42546.03177432224,6.948483198162222,-43195.18814680611
15,-34233.15423654666,-330716.9784097399,0.0,-0.12363907679698834,267842.8213066146,-163.53110790520773,945.5672103716577,0.0,-4.9240972370855305e-25,3092.576268408564,0.0,0.0,1.5,2.470600021922115,-4707.070386696391,-1.4296618299094795e-24,0.0,100.72007570951689,189.37288135593218,-136409.97734115552,-7.445078442762164e-14,-0.2123961679478924,0.0,0.0,-3.078716625109023e-15,0.0,0.0,0.0,-2.7352268229249532e-25,-1.2229780298529193e-26,0.0,0.0,-0.41193826031884806,0.0,0.0,1.850561960740559e-24,-2.7786902239741295e-29,-122807.0,0.0,0.0,1.209784445263744e-14,0.0,0.0,1.6044916650623515e-43,-1.4296618299094795e-24,0.0,0.0,1.2388735908335266e-25,0.0,2.470600021922115,0.0,2.046121471116308e-13,2.2495241977813876e-12,-0.0017189368126595426,-577.0,419.31336145009755,2765.326127249762,0.0,2765.275355139718,0.0,-0.18798297423210725,4.82986236449196e-28,0.0,0.0,-5.38617021275945,-45383.4796185302,-2.4663394882920372e-24,0.0,0.0,0.0,4.3215063251642415e-08,-4.97418834942345e-27,-3.023078988245312e-25,-4707.894715656928,-34233.15423654666,4.721591745217083e-07,-179704.96787740022,6.948483198162222,22238.029184879626
16,-31283.90346970773,-351342.0353465746,0.0,-0.12548734720505128,50413.74150944024,2.842170943040401e-14,-132.03076041570597,0.0,-6.438885161472519e-25,3092.5762684085644,0.0,0.0,-1.6000000000000014,-0.5785995703472948,-4707.070386696391,-4.1671575967912403e-26,0.0,100.72007570951689,189.37288135593218,-58763.55920185306,6.403845635744488e-14,-0.39841405001785557,0.0,0.0,-2.296047315086129e-14,0.0,0.0,0.0,3.948395128695317e-26,3.14690290435135e-41,0.0,0.0,-0.04567121269870486,0.0,0.0,-2.8097944044540397e-38,5.496505893942965e-28,0.0,0.0,0.0,-1.3354334054143427e-14,0.0,0.0,-4.010180705224744e-27,-4.1671575967912403e-26,0.0,0.0,8.663775078415225e-28,0.0,-0.5785995703472948,0.0,-1.1763402891454258e-13,-2.634443205101071e-12,-0.001257480839350761,0.0,419.31336145009755,-21655.855008066646,0.0,-21655.87037175981,0.0,-9.39464102412453e-07,9.799991555413463e-46,0.0,0.0,0.4138297871388126,-41552.94559134704,0.0,0.0,0.0,0.0,3.8782614850754704e-08,-9.612134180910359e-42,-1.4426902323079202e-25,-4707.894715656928,-31283.90346970773,-3.560030751773427e-07,-59193.53924857563,6.948483198162222,-9243.698173453651
17,10918.897532085728,-342484.9998000066,3015.0,-0.12579528250973324,50413.74150944024,2.842170943040401e-14,371.1585867445633,105927.0,-1647149.4824583014,-1875.3472642159104,-26.0,0.0,0.5,-0.6023595104333634,11398.86550466068,-208820.90094775616,17069.33,18066.86252815757,188.7028813559303,-67340.8323051715,2044.088148581738,0.08713186836416165,133.32999999999993,0.04999999999999999,1.3439160573824234,12789.339999999997,0.0,0.0,-74450.69017004181,-97857.50719367428,-103942.66999999993,0.0,0.39791098412661896,20338.0,0.0,617120.8254071255,35237.540744749924,0.0,6542.0,507.33000000000175,-23864.447294103567,72089.0,-3580.3300000000017,194206.7007850886,-208820.90094775616,0.0,0.0,580258.4514092689,896.0,-0.6023595104333634,-25297.0,-4.23972030020829,14260.712257945435,12.039271039058065,0.0,-5408.65816511701,-21655.855008066646,8.79671283910119,-21655.87037175981,-150540.29393077336,-926.4913002703288,48975.231773915715,0.0,18919.0,0.41382978724054986,-19745.61437092921,-13426342.725845687,-0.040000000000000036,87377.73,5464.0,-23215.373316400477,-97857.50671592953,-56464.57925311166,11433.443824811166,10918.897532085728,3256305.730811513,-67514.25009710851,6.948483198162222,8948.282383433856
18,-29537.08229085557,592973.476462405,0.0,-0.11459947794643349,-92227.25849055976,320.66599384195035,107.13626156668141,0.0,6.4186621253884e-26,3092.5762684085644,0.0,0.0,-3.5,1.8522734753196246,-4707.070386696391,0.0,0.0,100.72007570951689,189.37288135593218,-26864.651949057647,-9.497488906514375e-14,0.2005524662191499,0.0,0.0,-2.4439312290476946e-14,0.0,0.0,0.0,-5.347655782210464e-27,-2.3896369776244615e-43,0.0,0.0,0.05656855872920922,0.0,0.0,9.405683472216128e-25,7.302919706604721e-29,-94998.0,0.0,0.0,-2.81685804055859e-14,0.0,0.0,-5.386849793046779e-26,0.0,0.0,0.0,-1.310181039044977e-25,0.0,1.8522734753196246,0.0,2.887551184377092e-13,5.051036662342939e-12,-0.001238851692399905,-190.0,419.31336145009755,-25237.555008066643,0.0,-25237.54037175981,6.588664682882005e-14,-0.004630076231442988,-1.1792531702686848e-29,0.0,0.0,-11.80617021275864,-36528.991013863226,0.0,0.0,0.0,0.0,3.0913451195882757e-09,-1.6332127039373552e-28,4.5707809569513555e-25,-4707.894715656928,-29537.08229085557,-3.6246708085557177e-07,-60349.38602426098,6.948483198162222,-2589.069980896401
19,-27043.57198702647,191676.25649184245,0.0,-0.12339152848778788,18707.941379000433,0.0,237.26521503441225,0.0,1.8484439944737033e-25,3092.5762684085644,0.0,0.0,-1.0999999999999979,-0.45117990062395696,-4707.070386696391,-8.20118418239999e-25,0.0,100.72007570951689,189.37288135593218,-56933.84062271833,8.246829285995081e-14,0.11072971543454374,0.0,0.0,1.9098250340345087e-14,0.0,0.0,0.0,-2.9474162284448487e-25,4.809577838646623e-43,0.0,0.0,0.259849244445467,0.0,0.0,2.1476116446777493e-24,1.093779351179828e-28,0.0,0.0,0.0,1.8925840352819885e-14,0.0,0.0,-3.714706224928253e-28,-8.20118418239999e-25,0.0,0.0,-2.614119895174136e-26,0.0,-0.45117990062395696,0.0,-1.6615048721745692e-13,1.4616966252293496e-11,-0.0008954708042411941,0.0,419.31336145009755,-22631.48677509479,0.0,-22631.493863268217,1.0552335493076566e-13,-2.3671804133897697e-08,1.486925035888259e-28,0.0,0.0,0.4138297870483836,-33625.38214649807,0.0,0.0,0.0,0.0,-7.60464215868678e-08,8.097092320349067e-42,2.582940745262543e-26,-4707.894715656928,-27043.57198702647,2.880347444671054e-07,-65959.99008546871,6.948483198162222,3304.5736396084335
20,-309276.4330034035,363826.8468705113,57934.34999999998,-0.124292725362203,18707.941379000433,0.0,186.2545818217546,-120502.0,-105702.2671924674,-114266.9594562838,97.0,0.010000000000000002,-1.0,-0.4710482785969101,11401.936591885544,-6723.429927208854,-0.33000000000174623,100.12882900055811,-47.62711864406782,-49932.9433440179,4433.561680147295,0.10158594998214465,-552.67,-0.62,-2.9376272684356644,9113.660000000003,0.0,-177.32999999999993,24188.56214723742,97153.36905112423,457564.9999999999,0.01,-0.3549246222227335,-98960.0,0.0,21863.918998795445,8161.867581975857,0.0,-570.0,-4173.669999999998,16423.314617610024,224826.0,-4206.330000000002,101945.91806395803,-6723.429927208854,0.0,0.0,39784.190610141755,3304.66,-0.4710482785969101,-3755.0,-0.23796298885349398,11322.596104634775,63.53452179121555,0.0,-16326.818497410864,-22631.48677509479,-0.8262234565008493,-22631.493863268217,-107447.73094512531,27171.421310966514,92020.66411413459,0.0,13514.0,0.4138297872413599,-330579.711264469,-812848.7156013674,0.030000000000000027,35369.270000000004,1499.329999999998,-17369.580783639765,97153.36664993374,-14355.269290272845,11449.890485678647,-309276.4330034035,396835.22854311985,-65606.37796924356,6.948483198162222,402.4586171970245
21,1109.2832991681644,229649.08327051683,0.0,-0.11791338996547653,-70686.38862099953,-9.53384106387341,167.0429878583212,0.0,-3.9576630516793563e-25,3092.5762684085644,0.0,0.0,-1.4000000000000004,1.0529552221177063,-4707.070386696391,-7.804221979790142e-85,0.0,100.72007570951689,189.37288135593218,99957.42657710786,1.8705238295001535e-13,0.2727654795744695,0.0,0.0,2.985144582996356e-14,0.0,0.0,0.0,-5.905176255186416e-25,-3.1752448257052946e-26,0.0,0.0,-0.06850681904805728,0.0,0.0,7.306260268235583e-25,1.6426156961223627e-61,-80720.0,0.0,0.0,1.88840177104182e-14,0.0,0.0,2.625108804469251e-41,-7.804221979790142e-85,0.0,0.0,-1.21302696250564e-41,0.0,1.0529552221177063,0.0,-1.641144250792534e-13,5.3893586202259885e-12,-9.377341131755544e-05,-180.0,419.31336145009755,-26837.84677509479,0.0,-26837.82386326822,0.0,0.13578731114363862,4.759448631554931e-28,0.0,0.0,0.24382978724054638,-5426.62140219094,-1.4468181868579394e-24,0.0,0.0,0.0,-9.527266948031858e-08,-1.268710014987425e-25,-8.844011372540418e-26,-4707.894715656928,1109.2832991681644,1.3395149074250157e-07,62323.634568438865,6.948483198162222,1747.0798822523725
